projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
Password-Generator;GeneratorTest;C:\Users\Danny\.jnose_projects\Password-Generator\Password Generator\src\GeneratorTest.java;C:\Users\Danny\.jnose_projects\Password-Generator\Password Generator\src\Generator.java;JUnit5;44;11;IgnoredTest;test1;13-16;13-16
Password-Generator;GeneratorTest;C:\Users\Danny\.jnose_projects\Password-Generator\Password Generator\src\GeneratorTest.java;C:\Users\Danny\.jnose_projects\Password-Generator\Password Generator\src\Generator.java;JUnit5;44;11;IgnoredTest;test2;18-21;18-21
Password-Generator;GeneratorTest;C:\Users\Danny\.jnose_projects\Password-Generator\Password Generator\src\GeneratorTest.java;C:\Users\Danny\.jnose_projects\Password-Generator\Password Generator\src\Generator.java;JUnit5;44;11;IgnoredTest;test3;23-26;23-26
Password-Generator;GeneratorTest;C:\Users\Danny\.jnose_projects\Password-Generator\Password Generator\src\GeneratorTest.java;C:\Users\Danny\.jnose_projects\Password-Generator\Password Generator\src\Generator.java;JUnit5;44;11;IgnoredTest;test4;28-31;28-31
Password-Generator;GeneratorTest;C:\Users\Danny\.jnose_projects\Password-Generator\Password Generator\src\GeneratorTest.java;C:\Users\Danny\.jnose_projects\Password-Generator\Password Generator\src\Generator.java;JUnit5;44;11;IgnoredTest;test5;33-36;33-36
Password-Generator;GeneratorTest;C:\Users\Danny\.jnose_projects\Password-Generator\Password Generator\src\GeneratorTest.java;C:\Users\Danny\.jnose_projects\Password-Generator\Password Generator\src\Generator.java;JUnit5;44;11;IgnoredTest;test6;39-43;39-43
Password-Generator;GeneratorTest;C:\Users\Danny\.jnose_projects\Password-Generator\Password Generator\src\GeneratorTest.java;C:\Users\Danny\.jnose_projects\Password-Generator\Password Generator\src\Generator.java;JUnit5;44;11;Magic Number Test;test5;35;35
Password-Generator;GeneratorTest;C:\Users\Danny\.jnose_projects\Password-Generator\Password Generator\src\GeneratorTest.java;C:\Users\Danny\.jnose_projects\Password-Generator\Password Generator\src\Generator.java;JUnit5;44;11;Magic Number Test;test6;41;41
Password-Generator;GeneratorTest;C:\Users\Danny\.jnose_projects\Password-Generator\Password Generator\src\GeneratorTest.java;C:\Users\Danny\.jnose_projects\Password-Generator\Password Generator\src\Generator.java;JUnit5;44;11;Sensitive Equality;test1;15-15;15-15
Password-Generator;GeneratorTest;C:\Users\Danny\.jnose_projects\Password-Generator\Password Generator\src\GeneratorTest.java;C:\Users\Danny\.jnose_projects\Password-Generator\Password Generator\src\Generator.java;JUnit5;44;11;Assertion Roulette;test1;15-15;15-15
Password-Generator;GeneratorTest;C:\Users\Danny\.jnose_projects\Password-Generator\Password Generator\src\GeneratorTest.java;C:\Users\Danny\.jnose_projects\Password-Generator\Password Generator\src\Generator.java;JUnit5;44;11;Assertion Roulette;test2;20-20;20-20
Password-Generator;GeneratorTest;C:\Users\Danny\.jnose_projects\Password-Generator\Password Generator\src\GeneratorTest.java;C:\Users\Danny\.jnose_projects\Password-Generator\Password Generator\src\Generator.java;JUnit5;44;11;Assertion Roulette;test3;25-25;25-25
Password-Generator;GeneratorTest;C:\Users\Danny\.jnose_projects\Password-Generator\Password Generator\src\GeneratorTest.java;C:\Users\Danny\.jnose_projects\Password-Generator\Password Generator\src\Generator.java;JUnit5;44;11;Assertion Roulette;test4;30-30;30-30
Password-Generator;GeneratorTest;C:\Users\Danny\.jnose_projects\Password-Generator\Password Generator\src\GeneratorTest.java;C:\Users\Danny\.jnose_projects\Password-Generator\Password Generator\src\Generator.java;JUnit5;44;11;Assertion Roulette;test5;35-35;35-35
Password-Generator;GeneratorTest;C:\Users\Danny\.jnose_projects\Password-Generator\Password Generator\src\GeneratorTest.java;C:\Users\Danny\.jnose_projects\Password-Generator\Password Generator\src\Generator.java;JUnit5;44;11;Assertion Roulette;test6;41-41;41-41
Password-Generator;GeneratorTest;C:\Users\Danny\.jnose_projects\Password-Generator\Password Generator\src\GeneratorTest.java;C:\Users\Danny\.jnose_projects\Password-Generator\Password Generator\src\Generator.java;JUnit5;44;11;Print Statement;test6;42;42
